x	y
-80	-139
197	70
-315	88
-697	-182
151	0
-223	25
66	-29
155	4
186	-63
-216	118
-263	-69
-367	-195
112	-28
-162	-78
128	-91
93	-61
29	1
-162	-23
-252	13
7	-58
287	37
-283	-138
-48	18
-62	143
-198	31
188	78
-174	-30
101	12
55	-15
133	139
239	-10
-69	108
118	-25
17	18
146	109
253	20
106	33
4	113
212	-65
14	-90
137	-47
-94	-154
-157	72
244	-30
212	56
12	59
199	-43
-153	-6
61	84
-8	55
77	-105
220	-54
-54	-134
220	-47
217	-15
-160	-13
-30	5
-164	-15
132	-66
113	125
209	-22
191	-29
317	135
-461	69
-641	114
97	22
-397	161
-626	99
67	48
-105	-86
-116	-122
153	-44
-44	246
-461	58
-98	57
-414	65
264	29
-54	-6
184	-28
-82	6
3	110
-415	-170
75	-22
-233	84
172	-47
106	-25
-480	82
-328	-102
148	-33
86	105
210	75
-28	-125
-165	48
-61	-71
196	112
147	-63
23	-81
281	12
-120	220
208	39
235	-8
-415	23
-428	-170
118	-3
131	-55
-223	-171
-397	166
-560	5
4	0
-18	192
-197	-117
188	162
172	-49
58	25
134	-11
-76	35
-202	-31
89	-111
172	-11
181	-62
243	-42
211	-51
246	-46
85	12
92	120
128	-93
164	-69
188	-91
179	-64
49	4
-7	-81
80	-43
-14	29
-130	197
284	32
-109	-12
55	10
208	-52
237	-43
263	3
-258	42
-318	-72
92	92
202	196
327	67
124	74
35	0
-23	45
-163	-81
-176	34
122	-47
-182	117
135	66
22	109
97	48
-615	96
238	3
-146	45
168	-36
-103	71
-402	67
-205	31
-304	101
-336	122
-391	131
-166	122
-109	73
142	-84
-485	24
211	-64
95	-84
-225	-21
328	79
313	64
70	-22
204	-11
134	-85
86	0
103	53
85	39
72	-42
340	72
-387	-142
131	68
-100	55
-57	-46
80	-78
170	-78
222	-57
-174	-24
189	-64
70	81
185	-69
160	-77
159	-9
154	-67
146	7
130	2
124	-5
134	-29
2	-51
200	27
70	57
-6	67
51	83
150	-17
-157	10
-506	20
-136	166
-113	-105
164	5
-16	-5
132	9
8	59
-307	28
137	55
208	-2
-3	-95
50	-104
267	4
-244	-42
222	66
-38	153
-811	65
-415	22
81	47
118	111
92	40
-123	56
-48	64
-120	-85
21	70
-14	129
52	38
-22	31
6	54
87	-92
244	-29
222	-4
72	-31
219	-4
-20	-93
80	1
-69	89
-72	22
50	63
51	-98
147	-68
51	50
-22	52
181	81
-171	-140
143	-9
-57	-53
47	79
0	-10
-119	5
96	6
-48	-95
40	-59
127	-86
196	-73
-289	-13
172	-86
156	-38
100	-48
209	-27
102	-76
213	57
114	-69
-733	-195
-10	-118
49	-80
146	10
49	16
160	-67
225	-23
137	61
-260	-8
81	109
145	-14
138	-32
170	-79
38	100
-409	144
318	90
27	-45
338	78
53	-96
-429	158
-124	33
188	90
220	104
97	-47
248	0
0	34
208	177
-361	127
-189	40
-159	95
-63	14
212	-37
170	-85
107	47
202	-68
-15	38
-132	160
-802	53
193	38
85	-61
233	-68
-446	88
-574	-157
-267	94
32	92
-79	-55
-223	7
-230	131
88	163
13	-16
-15	-63
229	53
-426	183
127	-3
73	108
172	121
-82	48
-425	77
-428	-170
5	-117
-292	-62
190	-30
201	99
-610	-155
115	-85
-414	167
-92	-96
15	17
160	-64
-135	59
234	-39
-20	-60
116	38
32	59
131	114
238	-27
131	-72
127	86
29	-108
100	-27
105	37
63	-86
101	-35
203	-8
128	-15
139	-83
-168	-158
-163	-28
-1	31
202	-83
105	0
194	-94
-365	-127
213	-68
236	-42
269	64
126	-79
246	13
14	44
-40	-115
-245	-149
171	20
64	-34
80	-10
104	-26
231	-60
-329	33
-28	70
208	39
-84	23
-464	96
-522	19
-20	47
-304	94
151	92
-558	-191
144	-42
54	22
41	85
-232	127
-419	135
-693	-199
27	-45
138	-49
106	-62
100	-76
48	-44
138	84
53	9
194	-42
-8	-24
189	-30
199	-54
-21	0
-11	16
84	-104
138	-32
108	68
-403	-151
-114	67
-345	124
14	39
-120	148
-69	-135
158	-39
158	-87
-150	-98
230	-42
-15	97
213	48
267	32
0	-9
164	-32
-130	194
-334	28
2	34
305	32
204	75
-18	7
-296	86
117	27
66	99
121	12
96	-45
93	108
87	32
217	-40
144	253
243	61
-36	-45
216	-67
-177	-105
-161	1
-168	148
-186	-82
-236	-43
-128	184
84	178
129	-12
257	49
190	-87
219	12
153	-46
176	-77
90	45
-56	42
-210	-166
-676	8
-220	-138
191	-83
72	-102
-126	29
45	11
-7	118
222	-37
-23	-30
-67	8
-177	14
-127	12
32	44
-109	134
41	20
-107	100
-213	-37
313	146
147	1
-7	-51
162	-33
96	2
50	-66
-135	-70
107	-19
155	185
140	-38
187	-65
-40	160
-22	7
76	45
115	67
122	-28
-67	-92
200	-12
-47	156
15	69
165	-43
240	70
234	-42
21	-14
208	-4
133	-1
-346	-51
-167	90
58	-5
146	6
223	-66
-94	-77
153	-78
-100	-166
175	-19
39	-82
-60	-139
-41	-65
-51	-50
133	-82
108	-97
-33	-88
61	-72
54	-26
132	9
94	-17
116	-37
-420	-164
303	150
-665	10
-187	-173
36	203
-3	42
122	74
-134	148
-56	-111
-428	-170
-330	-177
-268	3
77	25
229	-32
-139	-138
-94	-91
136	-35
64	11
187	249
-34	-78
111	-22
118	-55
-29	-134
-35	54
-14	41
-367	57
-464	-192
-75	-14
-366	35
-72	-25
-74	91
80	-27
145	-76
129	4
-571	97
-26	17
-270	-47
309	49
230	65
119	37
-2	55
-166	-12
68	46
231	-5
-381	19
-38	44
62	-56
-455	30
117	60
263	17
-461	88
222	97
187	-65
272	27
156	3
237	-7
79	45
198	35
223	62
26	-6
-145	-102
-57	275
198	34
-122	-159
291	69
-132	44
135	-36
132	137
-271	73
169	-28
-150	-161
57	10
-2	51
55	-105
89	-110
-59	43
-96	-102
196	-84
177	-94
198	-59
170	-60
141	-75
259	-36
189	-78
126	-25
-65	-146
-251	142
-769	96
66	-98
4	62
34	-36
106	110
-229	-127
116	-98
63	-2
224	87
-453	178
279	166
-436	159
-933	33
28	216
-373	147
43	-11
-325	113
